CODGEO,LibCommune,Region,Departement,Population2012,Population2007,Superficie,Naissances2007-2012,Deces2007-2012,Menages2012,NaissancesDomiciliees2013,DecesDomicilies2013,Logements2012,Residences2012,ResidencesSecondaires2012, LogementsVacants2012,ResidencesPrincipalesPropriétaires2012,NombreMenagesFiscaux2012,PartMenagesFiscauxImposes2012,MedianeRevenuDispoUC2012,TauxPauvrete2012,EmploisLT2012,Emplois SalariesLT2012,EmploisLT2007,Pop15-64ans2012,Chomeurs15-64ans2012,Actifs15-64ans2012,TotalEtsActifsFin2012,EtsActifsAgricultureFin2012,EtsActifsIndustrieFin2012,EtsActifs ConstructionFin2012,EtsActifsCommerceServicesFin2012,EtsActifsReparationAutoFin2012,EtsActifsAdmPubliqueFin2012,EtsActifs1-9SalariésFin2012,EtsActifs10ouPlusFin2012,Latitude,Longitude,Metropole
70544,La Vergenne,43,70,125.0,107.0,2.95,10.0,7.0,46.4876033058,1.0,0.0,52.6029879212,46.4876033058,4.07692307692,2.03846153846,42.3553719008,45.0,,18208.0,,4.13223140496,4.13223140496,10.8064579519,74.3801652893,9.29752066116,59.9173553719,6.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,47.6149187489, 6.52058432739,
70554,Villars-le-Pautel,43,70,185.0,151.0,12.18,6.0,11.0,85.0,5.0,1.0,152.0,85.0,39.0,28.0,72.0,85.0,,15322.1884058,,12.0487794403,7.04877944032,14.0097794824,102.0,14.0,71.0,13.0,5.0,0.0,0.0,4.0,2.0,4.0,3.0,0.0,47.8959698741, 5.92002657844,
70569,Vilory,43,70,83.0,90.0,4.15,5.0,8.0,31.2470588235,0.0,1.0,34.2470588235,31.2470588235,2.0,1.0,26.3647058824,,,,,10.7962726718,2.92941176471,9.84125878089,60.5411764706,5.85882352941,45.8941176471,9.0,5.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,47.7301466997, 6.22337661531,
71029,Bellevesvre,26,71,273.0,274.0,7.13,14.0,20.0,147.0,4.0,3.0,204.763546798,147.0,41.5492178723,16.2143289258,121.0,145.0,,17545.9047619,,91.2211364164,47.978530069,80.991256687,148.0,5.0,109.0,51.0,14.0,2.0,6.0,17.0,6.0,12.0,14.0,0.0,46.8484271655, 5.36394090745,
71062,Brion,26,71,326.0,346.0,16.57,5.0,14.0,154.203174603,1.0,2.0,195.011646058,154.203174603,21.9737923219,18.834679133,133.504761905,147.0,,22860.0,,26.8072668757,7.14377481223,39.8727490838,199.73968254,5.1746031746,137.644444444,33.0,19.0,0.0,2.0,10.0,2.0,2.0,2.0,0.0,46.9163069203, 4.24167330561,
71080,Champagny-sous-Uxelles,26,71,85.0,78.0,5.05,7.0,2.0,37.4404761905,0.0,0.0,61.8275729647,37.4404761905,21.3387096774,3.04838709677,29.3452380952,,,,,7.08333333333,1.0119047619,14.5748142999,56.6666666667,3.03571428571,42.5,12.0,7.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,46.5792196401, 4.74765167584,
71124,Chenôves,26,71,210.0,218.0,10.54,10.0,13.0,95.0,1.0,3.0,134.0,95.0,16.0,23.0,78.0,98.0,,23824.6666667,,39.2459455443,19.1336396901,58.6130926508,145.0,6.0,104.0,45.0,28.0,1.0,2.0,11.0,1.0,3.0,9.0,1.0,46.6662558007, 4.70092580314,
71135,Clessé,26,71,822.0,815.0,10.06,47.0,20.0,336.722891566,6.0,8.0,376.927495147,336.722891566,20.1023017903,20.1023017903,274.330120482,329.0,,21706.6666667,,156.245512668,89.7646223325,144.167094248,532.814457831,20.7975903614,403.077108434,141.0,70.0,8.0,3.0,53.0,13.0,7.0,29.0,1.0,46.418154831, 4.82185640271,
71160,Curbigny,26,71,313.0,308.0,9.64,14.0,8.0,128.180952381,2.0,3.0,148.442390289,128.180952381,10.1307189542,10.1307189542,116.257142857,132.0,,19614.7826087,,59.8616592011,35.0055620827,70.8442935125,196.742857143,4.96825396825,140.104761905,36.0,22.0,3.0,3.0,6.0,3.0,2.0,9.0,1.0,46.3116932174, 4.31698207413,
71198,Flacey-en-Bresse,26,71,355.0,364.0,13.72,21.0,15.0,174.058171745,2.0,5.0,254.763626291,174.058171745,56.7927272727,23.9127272727,139.639889197,179.0,,17979.3333333,,32.8835704593,13.1271578968,39.7074833353,205.526315789,13.7673130194,146.523545706,40.0,13.0,3.0,5.0,16.0,3.0,3.0,8.0,0.0,46.5949707867, 5.38150826754,
71212,Génelard,26,71,1401.0,1452.0,22.13,54.0,83.0,686.107451061,18.0,13.0,825.071116148,686.107451061,27.0466193793,111.917045708,458.435158742,671.0,,19189.3333333,,511.243935668,406.430681577,479.073280136,833.364556254,76.234161229,606.782715728,156.0,26.0,12.0,11.0,97.0,28.0,10.0,39.0,8.0,46.5798385493, 4.25003029458,
71219,Gigny-sur-Saône,26,71,554.0,519.0,14.36,29.0,17.0,222.0,2.0,7.0,292.0,222.0,43.0,27.0,189.0,224.0,,20120.0,,68.0515773354,51.0515773354,67.0120967838,335.0,20.0,269.0,39.0,7.0,0.0,7.0,22.0,2.0,3.0,9.0,1.0,46.6538485126, 4.93846686758,
71261,Loisy,26,71,610.0,556.0,14.64,33.0,22.0,265.0,9.0,3.0,341.0,265.0,41.0,35.0,232.0,255.0,,18865.2173913,,90.4971817785,65.3958129976,86.1362092716,374.0,35.0,294.0,48.0,15.0,4.0,3.0,22.0,5.0,4.0,5.0,2.0,46.5904043725, 5.01289765681,
71288,Massy,26,71,64.0,56.0,5.07,10.0,2.0,27.5692307692,0.0,0.0,40.6476621418,27.5692307692,4.35947712418,8.71895424837,22.6461538462,,,,,20.6805244502,14.7336325701,22.4959456897,38.4,1.96923076923,30.5230769231,10.0,4.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,46.4898679694, 4.60948900655,
71362,Pruzilly,26,71,295.0,234.0,4.29,20.0,8.0,122.0,3.0,2.0,157.0,122.0,15.0,20.0,98.0,115.0,,21122.8571429,,46.5323240494,23.8399048723,42.0070586842,197.0,13.0,161.0,45.0,24.0,0.0,3.0,14.0,3.0,4.0,7.0,1.0,46.259412904, 4.69749749783,
71371,La Roche-Vineuse,26,71,1473.0,1401.0,11.96,66.0,67.0,676.0,19.0,8.0,777.0,676.0,49.0,52.0,462.0,676.0,,23760.6666667,,477.800164566,372.465283247,445.498453768,900.0,46.0,706.0,197.0,53.0,14.0,21.0,81.0,11.0,28.0,53.0,7.0,46.3510235915, 4.74854768422,
71381,Sailly,26,71,80.0,80.0,8.96,3.0,4.0,36.3636363636,0.0,1.0,76.1004784689,36.3636363636,33.716108453,6.02073365231,31.8181818182,,,,,14.7885306279,4.78853062789,12.3548872171,49.0909090909,7.27272727273,41.8181818182,15.0,4.0,1.0,2.0,4.0,0.0,4.0,2.0,0.0,46.5326888362, 4.56213978811,
71385,Saint-Amour-Bellevue,26,71,550.0,533.0,5.09,29.0,19.0,234.409594096,3.0,4.0,279.713941922,234.409594096,18.1217391304,27.1826086957,172.509225092,231.0,,21166.0,,120.381291454,58.4911335134,125.407823946,340.959409594,14.2066420664,264.852398524,128.0,95.0,2.0,1.0,26.0,6.0,4.0,26.0,0.0,46.2414353911, 4.74041810825,
71425,Saint-Gilles,26,71,291.0,316.0,3.64,14.0,13.0,133.902173913,5.0,2.0,178.56884058,133.902173913,28.4242424242,16.2424242424,107.543478261,124.0,,18859.0,,39.9418914457,27.4527610109,38.8996039506,181.347826087,12.652173913,134.956521739,21.0,3.0,2.0,3.0,9.0,0.0,4.0,5.0,1.0,46.8776228817, 4.66403200389,
71440,Saint-Léger-sous-Beuvray,26,71,427.0,488.0,34.97,13.0,33.0,211.240719664,0.0,1.0,350.90738633,211.240719664,128.187214612,11.4794520548,144.365516956,197.0,,15135.0,,154.487487803,108.167900931,151.697519643,241.235548035,14.8611561572,173.298834173,78.0,37.0,4.0,2.0,29.0,6.0,6.0,14.0,1.0,46.9191539488, 4.09209757526,
71445,Saint-Marcel,26,71,5932.0,5669.0,10.17,322.0,249.0,2526.0,65.0,55.0,2696.61786237,2526.0,15.4172767204,155.200585652,1548.87754104,2570.0,62.4074795481,18814.5,10.66503,3192.13269434,2947.41159887,3076.97245345,3752.58017183,295.443249244,2861.5554781,486.0,35.0,46.0,41.0,306.0,114.0,58.0,137.0,44.0,46.77487928, 4.88727108461,
71475,Saint-Rémy,26,71,6476.0,5805.0,10.38,340.0,278.0,2699.0,75.0,102.0,2875.0,2699.0,25.0,151.0,1869.0,2719.0,69.2307692308,20060.0,9.21252,1732.02188879,1527.30666784,1717.97181011,3911.0,284.0,2888.0,399.0,9.0,33.0,45.0,250.0,76.0,62.0,106.0,37.0,46.7602643306, 4.82122632524,
71498,Santilly,26,71,146.0,138.0,7.22,3.0,3.0,73.0,0.0,1.0,88.0,73.0,8.0,7.0,60.0,71.0,,20387.5,,17.1322942039,9.13229420388,26.0636233752,90.0,9.0,63.0,23.0,10.0,0.0,3.0,9.0,2.0,1.0,2.0,0.0,46.6204214776, 4.70493603274,
71499,Sanvignes-les-Mines,26,71,4414.0,4377.0,35.48,216.0,241.0,2016.0,49.0,33.0,2267.0,2016.0,33.0,218.0,1296.0,2029.0,57.5518262586,18142.6666667,12.16021,622.806524724,480.591076291,650.227095713,2582.0,247.0,1874.0,192.0,29.0,19.0,16.0,106.0,35.0,22.0,33.0,12.0,46.6680278999, 4.27985342384,
71529,Suin,26,71,281.0,287.0,21.98,10.0,20.0,127.09540636,0.0,3.0,203.728739694,127.09540636,52.7476190476,23.8857142857,107.236749117,125.0,,18582.8,,46.8021513164,16.9658206487,49.6875029413,176.74204947,15.8869257951,138.017667845,77.0,51.0,2.0,5.0,17.0,4.0,2.0,6.0,0.0,46.4406556558, 4.45677092453,
72013,Aubigné-Racan,52,72,2144.0,2077.0,32.03,98.0,95.0,961.056510739,13.0,29.0,1309.81263515,961.056510739,217.368775605,131.38734881,718.556212269,967.0,56.9803516029,17702.0,15.56637,543.63901877,467.04534873,583.547090853,1237.51557875,134.182228843,853.732294794,125.0,27.0,12.0,11.0,62.0,15.0,13.0,28.0,8.0,47.6839620406, 0.250420617503,
72017,Auvers-sous-Montfaucon,52,72,244.0,231.0,7.49,22.0,4.0,80.6774193548,4.0,0.0,95.7377030428,80.6774193548,6.45440729483,8.60587639311,67.8870967742,82.0,,19468.6046512,,28.7423132667,10.0,33.3563797897,157.419354839,9.83870967742,123.967741935,22.0,14.0,0.0,1.0,5.0,2.0,2.0,4.0,0.0,48.0011977503, -0.0746551164135,
72097,Coulombiers,52,72,446.0,416.0,12.34,40.0,14.0,168.071090284,8.0,5.0,210.958879063,168.071090284,20.9451991711,21.9425896078,131.575653537,173.0,,17740.0,,61.3228562074,38.2554572928,44.6521429858,288.493378248,33.9471969119,224.10763049,41.0,20.0,3.0,2.0,14.0,3.0,2.0,9.0,0.0,48.2947714312, 0.12688051263,
72102,Courcival,52,72,88.0,81.0,8.94,4.0,3.0,39.0,0.0,0.0,55.0,39.0,15.0,1.0,30.0,,,,,8.0,0.0,12.886514085,58.0,6.0,45.0,15.0,10.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,48.2356656614, 0.391626010989,
72108,Cré,52,72,803.0,803.0,17.19,44.0,24.0,303.000419053,7.0,5.0,354.869737235,303.000419053,35.5965909091,16.2727272727,249.00034437,300.0,,18149.047619,,79.7576183707,45.8458203405,88.8327762297,505.999774338,42.0000580865,381.000064195,46.0,11.0,2.0,8.0,22.0,3.0,3.0,9.0,0.0,47.6579707942, -0.139863382378,
72128,Évaillé,52,72,369.0,372.0,19.43,27.0,18.0,155.790989297,2.0,2.0,230.781980288,155.790989297,53.2830725462,21.7079184448,127.560407344,145.0,,18948.5714286,,60.7637042379,28.5487260989,44.2393631966,216.345742031,18.8203879688,160.930155234,50.0,19.0,3.0,1.0,26.0,7.0,1.0,5.0,0.0,47.9002296748, 0.626909662566,
72152,Juillé,52,72,477.0,448.0,5.72,25.0,21.0,191.002118644,3.0,2.0,228.497654358,191.002118644,25.3348214286,12.1607142857,167.758474576,191.0,,18286.0,,45.3280153778,31.2041539289,44.8698197086,298.125,19.2012711864,203.129237288,27.0,8.0,2.0,3.0,11.0,5.0,3.0,4.0,1.0,48.2452632445, 0.12580313136,
74002,Alby-sur-Chéran,82,74,2188.0,1959.0,6.56,148.0,37.0,828.335543691,38.0,6.0,895.534901894,828.335543691,24.7056463982,42.4937118048,488.420212723,861.0,71.8604651163,21807.826087,7.59924,1907.15403584,1729.49796151,1909.40853586,1441.02933728,115.713367358,1190.26061479,272.0,7.0,30.0,36.0,165.0,46.0,34.0,68.0,32.0,45.8156435779, 6.01581486858,
74045,Le Bouchet-Mont-Charvin,82,74,235.0,242.0,18.52,18.0,1.0,90.2320675105,2.0,1.0,219.232067511,90.2320675105,111.0,18.0,58.5021097046,93.0,,19626.1904762,,28.8686293398,13.9691040754,30.7937232783,143.776371308,7.93248945148,113.037974684,40.0,9.0,1.0,5.0,21.0,4.0,4.0,7.0,0.0,45.8045733703, 6.38410878026,
74076,Choisy,82,74,1544.0,1562.0,16.57,81.0,32.0,578.503856041,15.0,5.0,649.003856041,578.503856041,36.7826086957,33.7173913043,516.982005141,570.0,,27903.5,,160.337993746,92.9108343908,152.533744068,1065.71722365,54.5758354756,824.59125964,122.0,31.0,6.0,25.0,52.0,12.0,8.0,18.0,3.0,45.9970301608, 6.05417234636,
74148,Leschaux,82,74,272.0,274.0,12.52,12.0,9.0,118.0,1.0,3.0,169.0,118.0,39.0,12.0,102.0,121.0,,21027.2,,33.8570495313,15.8756461052,24.9821785253,193.0,6.0,141.0,47.0,10.0,1.0,6.0,24.0,3.0,6.0,7.0,0.0,45.7750459129, 6.11849070484,
74166,Marin,82,74,1666.0,1474.0,5.57,79.0,51.0,671.0,16.0,10.0,769.0,671.0,36.0,62.0,489.0,655.0,,24736.0714286,,267.958550977,175.044991438,279.183052279,1088.0,58.0,849.0,170.0,21.0,10.0,26.0,101.0,26.0,12.0,37.0,5.0,46.374432028, 6.52367394025,
74174,Mégevette,82,74,549.0,486.0,21.66,30.0,20.0,215.678571429,2.0,3.0,448.416778976,215.678571429,193.002416015,39.7357915324,164.7,205.0,,22429.0,,39.2805162518,19.6663666658,41.9125533652,336.2625,18.6267857143,267.6375,44.0,18.0,0.0,6.0,14.0,0.0,6.0,4.0,1.0,46.208458258, 6.51327068897,
74231,Saint-Eusèbe,82,74,458.0,436.0,6.88,27.0,16.0,190.232283465,3.0,2.0,213.726647394,190.232283465,12.921900161,10.5724637681,148.75984252,190.0,,23504.375,,55.2402418929,25.2911621643,49.2331022997,304.732283465,11.7204724409,247.933070866,68.0,21.0,2.0,15.0,27.0,3.0,3.0,7.0,1.0,45.9294639513, 5.96296409626,
74238,Saint-Jean-d'Aulps,82,74,1244.0,1169.0,40.19,84.0,61.0,488.797434677,18.0,9.0,1874.74013497,488.797434677,1326.2037908,59.7389094953,327.465707486,522.0,,21147.7777778,,644.047848775,481.497837868,676.497821268,765.33693842,20.4058749472,599.600328664,310.0,11.0,9.0,33.0,202.0,34.0,55.0,49.0,8.0,46.2278739142, 6.66076731793,
76001,Allouville-Bellefosse,23,76,1180.0,1044.0,14.66,65.0,38.0,477.064377682,15.0,6.0,589059,Bussy-en-Othe,26,89,751.0,758.0,56.5,31.0,30.0,337.77560678,3.0,8.0,423.180312662,337.77560678,63.7962863218,21.6084195606,294.419334865,318.0,,20081.3333333,,88.6093695663,62.5612428107,78.7208201244,455.598272451,37.2979286517,318.600922499,54.0,16.0,1.0,11.0,22.0,10.0,4.0,9.0,1.0,48.0413773601, 3.50603239143,
89076,Champlost,26,89,808.0,793.0,22.94,58.0,40.0,347.709001233,8.0,6.0,452.355835711,347.709001233,71.1192078973,33.5276265802,310.845869297,354.0,,20609.5238095,,105.753183479,48.9771320222,107.182203849,490.180024661,41.8446362515,377.598027127,96.0,36.0,5.0,7.0,42.0,10.0,6.0,17.0,1.0,48.04194277, 3.65112821116,
89099,Cheny,26,89,2417.0,2572.0,9.72,152.0,128.0,1087.0,35.0,21.0,1212.10212418,1087.0,29.0236928105,96.0784313725,659.142557726,1064.0,62.0884289746,18310.7692308,19.35809,293.152341333,237.998828871,335.09827657,1547.23307272,177.966243363,1094.95054683,105.0,7.0,9.0,15.0,54.0,19.0,20.0,21.0,9.0,47.944917825, 3.53719621335,
89127,Courtois-sur-Yonne,26,89,764.0,740.0,4.29,38.0,20.0,270.578731887,1.0,3.0,302.098445148,270.578731887,13.789874552,17.7298387097,238.806229279,257.0,,21734.0,,241.52384806,215.75734929,194.350906594,498.545865308,24.5980665352,308.500751129,42.0,2.0,4.0,6.0,22.0,5.0,8.0,10.0,7.0,48.2291773603, 3.24850168406,
89158,Étais-la-Sauvin,26,89,675.0,706.0,44.79,23.0,104.0,282.810980603,5.0,22.0,474.966222538,282.810980603,147.889112903,44.2661290323,237.482391377,294.0,,16330.8,,179.057648542,122.617923476,160.849451766,369.569936113,35.4745480896,246.3510284,103.0,48.0,8.0,11.0,30.0,11.0,6.0,23.0,1.0,47.5119567987, 3.34972153514,
89187,Gigny,26,89,91.0,106.0,10.77,3.0,5.0,39.6914893617,2.0,0.0,91.8505802708,39.6914893617,33.75,18.4090909091,35.8191489362,,,,,18.4255319149,3.90425531915,24.6645939227,53.2446808511,2.90425531915,37.7553191489,26.0,6.0,3.0,4.0,12.0,0.0,1.0,3.0,0.0,47.8287677848, 4.30551561383,
89194,Grimault,26,89,122.0,123.0,23.77,5.0,10.0,58.2387573238,1.0,1.0,119.249686286,58.2387573238,44.9554213402,16.0555076215,50.4735896806,58.0,,21175.0,,19.6688746609,7.90535318746,14.5594562018,63.7612426762,4.85322977698,46.591005859,22.0,12.0,0.0,1.0,8.0,1.0,1.0,3.0,0.0,47.6605721672, 3.97653630246,
89223,Lézinnes,26,89,748.0,741.0,15.96,26.0,28.0,353.636122178,2.0,5.0,436.072773762,353.636122178,41.7149321267,40.721719457,260.260292165,345.0,,20146.0,,225.209271205,190.319634133,303.956048264,452.972111554,42.7144754316,318.868525896,55.0,9.0,8.0,7.0,29.0,9.0,2.0,11.0,5.0,47.8039171738, 4.07106558888,08.241592872,477.064377682,9.59298928919,21.5842259007,345.39055794,468.0,,20083.3333333,,351.774078599,283.185652593,323.989452811,758.643776824,44.5665236052,579.364806867,105.0,23.0,7.0,8.0,55.0,8.0,12.0,19.0,3.0,49.5946409573, 0.665436022637,
76023,Anvéville,23,76,283.0,249.0,4.23,18.0,8.0,107.211604096,4.0,4.0,132.119937429,107.211604096,17.934,6.97433333333,97.5529010239,111.0,,20494.7619048,,15.5855560308,6.87654229145,13.9396666192,177.720136519,6.76109215017,141.982935154,17.0,6.0,1.0,1.0,8.0,2.0,1.0,1.0,0.0,49.6996514081, 0.748889414499,
76053,Baillolet,23,76,110.0,133.0,8.74,2.0,7.0,48.125,0.0,0.0,68.4107142857,48.125,17.2428571429,3.04285714286,40.2678571429,48.0,,18157.5,,20.5762388748,6.78437346619,18.0570481278,78.5714285714,4.91071428571,53.0357142857,15.0,9.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,49.7896330742, 1.43139966694,
76054,Bailly-en-Rivière,23,76,532.0,560.0,20.06,36.0,14.0,211.0,7.0,4.0,243.0,211.0,25.0,7.0,171.0,208.0,,18280.4761905,,56.4443645173,38.4354234723,51.8924026943,325.0,35.0,243.0,44.0,20.0,3.0,3.0,16.0,4.0,2.0,12.0,0.0,49.9079295518, 1.35035424549,
76064,Beaurepaire,23,76,495.0,435.0,2.83,39.0,11.0,183.109756098,8.0,0.0,224.831438945,183.109756098,24.2567923534,17.4648904945,157.957317073,184.0,,21719.3333333,,60.977579098,52.9287986102,41.1197556688,307.865853659,18.1097560976,230.396341463,25.0,7.0,1.0,3.0,11.0,3.0,3.0,6.0,2.0,49.6578498142, 0.218162169201,
76075,Belmesnil,23,76,480.0,498.0,3.03,27.0,11.0,183.439490446,5.0,3.0,193.785235127,183.439490446,4.31072695035,6.0350177305,161.01910828,176.0,,20276.0,,68.6213966409,54.4368366429,61.6579834765,315.923566879,21.4012738854,254.777070064,40.0,11.0,0.0,6.0,20.0,8.0,3.0,13.0,0.0,49.7683532311, 1.05014790136,
76079,Bénouville,23,76,171.0,119.0,2.86,14.0,6.0,73.2857142857,3.0,2.0,112.650200267,73.2857142857,33.308411215,6.05607476636,62.0892857143,71.0,,21528.5714286,,30.4088199966,20.3068587166,18.0059850445,112.982142857,11.1964285714,77.3571428571,14.0,3.0,0.0,1.0,8.0,1.0,2.0,3.0,0.0,49.7173340214, 0.246125602871,
76095,Bihorel,23,76,8268.0,8461.0,2.51,361.0,304.0,3843.63301103,0.0,0.0,4072.80320841,3843.63301103,14.6786562616,214.491541117,2197.87045548,,,,,2117.97016953,1941.31357425,2118.39199687,5013.76794912,353.684149371,3733.33322106,,,,,,,,,,,Rouen Normandie
